<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.05.09	00:00:00	1473.04	1476.03	1453.20	1457.35	71520	0	0
2013.05.09	08:00:00	1470.06	1471.61	1468.34	1470.12	5234	0	0
2013.05.09	12:00:00	1470.19	1473.16	1461.21	1464.33	15102	0	0
2013.05.09	16:00:00	1464.32	1471.91	1459.65	1470.78	19854	0	0
2013.05.09	20:00:00	1470.79	1471.57	1453.20	1457.62	12415	0	0
2013.05.10	00:00:00	1457.62	1458.58	1453.15	1454.19	7687	0	0
2013.05.10	04:00:00	1454.04	1461.66	1452.52	1459.65	10978	0	0
2013.05.10	08:00:00	1459.64	1461.97	1446.54	1446.57	14712	0	0
2013.05.10	12:00:00	1446.55	1450.90	1426.93	1435.67	30128	0	0
2013.05.10	16:00:00	1435.67	1436.09	1419.49	1433.49	31785	0	0
2013.05.10	20:00:00	1433.33	1449.16	1432.88	1448.13	14139	0	0
2013.05.13	00:00:00	1448.51	1448.83	1435.57	1436.85	11339	0	0
2013.05.13	04:00:00	1436.80	1439.50	1425.69	1430.98	17837	0	0
2013.05.13	08:00:00	1430.99	1438.77	1428.64	1431.98	19976	0	0
2013.05.13	12:00:00	1432.01	1436.77	1426.69	1433.93	21512	0	0
2013.05.13	16:00:00	1433.93	1436.78	1428.73	1434.97	21351	0	0
2013.05.13	20:00:00	1434.96	1436.85	1429.04	1430.05	11627	0	0
2013.05.14	00:00:00	1430.04	1440.64	1429.42	1439.90	6493	0	0
2013.05.14	04:00:00	1439.99	1445.23	1439.53	1440.63	12447	0	0
2013.05.14	08:00:00	1440.63	1443.10	1436.97	1437.45	15427	0	0
2013.05.14	12:00:00	1437.47	1437.57	1421.06	1423.35	31741	0	0
2013.05.14	16:00:00	1423.37	1438.90	1422.03	1426.14	36197	0	0
2013.05.14	20:00:00	1426.09	1429.03	1423.28	1425.07	15864	0	0
2013.05.15	00:00:00	1425.00	1430.58	1423.43	1425.54	7435	0	0
