<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.26	00:00:00	17851.50	17888.50	17800.50	17819.50	31140	0	0
2016.05.26	04:00:00	17820.00	17834.00	17812.00	17831.00	2414	0	0
2016.05.26	08:00:00	17830.50	17880.50	17822.00	17838.00	5772	0	0
2016.05.26	12:00:00	17838.50	17885.50	17837.00	17869.50	3820	0	0
2016.05.26	16:00:00	17870.00	17888.50	17800.50	17810.00	11811	0	0
2016.05.26	20:00:00	17809.50	17849.50	17803.50	17845.70	4313	0	0
2016.05.27	00:00:00	17842.50	17856.50	17834.00	17856.50	1108	0	0
2016.05.27	04:00:00	17856.00	17857.00	17825.50	17838.50	1763	0	0
2016.05.27	08:00:00	17837.00	17851.00	17820.50	17833.00	4602	0	0
2016.05.27	12:00:00	17834.00	17858.50	17828.00	17836.50	3352	0	0
2016.05.27	16:00:00	17836.00	17873.00	17829.50	17859.50	8467	0	0
2016.05.27	20:00:00	17860.00	17868.30	17820.00	17860.80	5512	0	0
2016.05.31	00:00:00	17911.40	17912.80	17890.30	17892.30	976	0	0
2016.05.31	04:00:00	17891.80	17919.80	17881.80	17911.80	1954	0	0
2016.05.31	08:00:00	17912.30	17916.80	17861.80	17871.80	4444	0	0
2016.05.31	12:00:00	17872.30	17902.30	17868.30	17895.30	3130	0	0
2016.05.31	16:00:00	17893.80	17906.80	17773.90	17780.40	10361	0	0
2016.05.31	20:00:00	17779.40	17801.40	17721.40	17789.50	7826	0	0
2016.06.01	00:00:00	17782.90	17792.90	17776.90	17786.90	1105	0	0
2016.06.01	04:00:00	17786.40	17823.40	17783.40	17803.40	2260	0	0
2016.06.01	08:00:00	17803.90	17805.90	17738.40	17742.90	7123	0	0
2016.06.01	12:00:00	17743.40	17752.90	17712.90	17715.90	4330	0	0
2016.06.01	16:00:00	17714.90	17782.60	17661.40	17782.60	9600	0	0
2016.06.01	20:00:00	17781.60	17806.60	17744.50	17789.40	4795	0	0
2016.06.02	00:00:00	17781.80	17788.50	17761.30	17768.50	1138	0	0
2016.06.02	04:00:00	17768.30	17775.50	17745.40	17755.30	2422	0	0
2016.06.02	08:00:00	17754.30	17773.90	17738.10	17766.00	5839	0	0
2016.06.02	12:00:00	17766.20	17780.80	17739.80	17744.80	4123	0	0
2016.06.02	16:00:00	17743.80	17787.30	17699.80	17781.80	13028	0	0
2016.06.02	20:00:00	17783.30	17839.30	17778.30	17832.10	6081	0	0
2016.06.03	00:00:00	17827.80	17846.30	17824.30	17837.30	1082	0	0
2016.06.03	04:00:00	17837.80	17845.30	17821.80	17825.30	2368	0	0
2016.06.03	08:00:00	17825.80	17850.80	17820.80	17835.30	4596	0	0
2016.06.03	12:00:00	17834.80	17855.80	17740.80	17764.80	5535	0	0
2016.06.03	16:00:00	17764.30	17812.00	17685.30	17764.50	14754	0	0
2016.06.03	20:00:00	17764.00	17831.00	17757.00	17807.50	7959	0	0
2016.06.06	00:00:00	17804.40	17823.00	17787.00	17795.50	1967	0	0
2016.06.06	04:00:00	17795.00	17813.00	17792.00	17807.50	1855	0	0
2016.06.06	08:00:00	17807.00	17853.50	17797.00	17839.50	4762	0	0
2016.06.06	12:00:00	17840.50	17873.50	17817.50	17864.50	3173	0	0
2016.06.06	16:00:00	17865.50	17928.00	17845.00	17878.00	9678	0	0
2016.06.06	20:00:00	17877.00	17948.00	17872.00	17927.50	6002	0	0
2016.06.07	00:00:00	17923.50	17927.00	17912.00	17919.50	1212	0	0
2016.06.07	04:00:00	17920.00	17934.00	17917.50	17931.50	1752	0	0
2016.06.07	08:00:00	17930.50	17990.50	17927.00	17982.50	4055	0	0
2016.06.07	12:00:00	17983.50	17994.00	17951.50	17957.50	2424	0	0
2016.06.07	16:00:00	17957.00	18002.00	17946.50	17994.00	8176	0	0
2016.06.07	20:00:00	17994.50	18003.00	17926.40	17943.60	4484	0	0
2016.06.08	00:00:00	17935.90	17945.40	17920.90	17927.90	989	0	0
2016.06.08	04:00:00	17927.40	17936.40	17908.40	17930.90	1647	0	0
2016.06.08	08:00:00	17931.40	17955.40	17924.40	17936.90	4395	0	0
2016.06.08	12:00:00	17936.40	17978.90	17936.40	17973.90	2058	0	0
2016.06.08	16:00:00	17974.90	18017.40	17951.40	17982.20	8897	0	0
2016.06.08	20:00:00	17982.70	18013.20	17965.20	17994.80	4333	0	0
2016.06.09	00:00:00	17996.70	18005.20	17989.20	17991.20	896	0	0
2016.06.09	04:00:00	17990.70	17996.20	17971.20	17975.70	1416	0	0
2016.06.09	08:00:00	17976.20	17991.70	17937.20	17961.70	4369	0	0
2016.06.09	12:00:00	17961.20	17966.70	17931.70	17940.20	2975	0	0
2016.06.09	16:00:00	17939.70	17971.20	17913.00	17953.50	8880	0	0
2016.06.09	20:00:00	17955.00	18003.00	17945.00	17982.60	5104	0	0
2016.06.10	00:00:00	17981.50	17981.50	17967.00	17977.50	964	0	0
2016.06.10	04:00:00	17978.00	17978.00	17949.50	17958.50	1356	0	0
2016.06.10	08:00:00	17958.00	17970.00	17898.50	17904.50	3752	0	0
2016.06.10	12:00:00	17903.50	17909.50	17864.00	17868.00	3403	0	0
2016.06.10	16:00:00	17867.50	17923.70	17834.70	17883.70	10664	0	0
2016.06.10	20:00:00	17884.70	17893.70	17811.20	17865.70	5447	0	0
2016.06.13	00:00:00	17872.40	17872.40	17813.20	17820.70	1289	0	0
2016.06.13	04:00:00	17821.20	17830.20	17795.20	17797.70	1810	0	0
2016.06.13	08:00:00	17799.70	17843.20	17786.70	17806.70	5612	0	0
2016.06.13	12:00:00	17807.20	17824.70	17794.20	17799.20	2972	0	0
2016.06.13	16:00:00	17799.70	17891.70	17775.70	17825.00	12752	0	0
2016.06.13	20:00:00	17825.50	17832.00	17714.50	17717.20	7316	0	0
2016.06.14	00:00:00	17711.50	17743.00	17694.50	17726.00	1977	0	0
2016.06.14	04:00:00	17727.00	17758.00	17722.00	17746.00	2241	0	0
2016.06.14	08:00:00	17745.00	17758.00	17664.50	17686.00	7683	0	0
2016.06.14	12:00:00	17685.50	17713.50	17672.50	17692.50	4724	0	0
2016.06.14	16:00:00	17693.00	17734.00	17600.00	17650.00	14570	0	0
2016.06.14	20:00:00	17650.50	17682.00	17592.50	17659.00	9419	0	0
2016.06.15	00:00:00	17647.20	17659.20	17618.70	17644.70	1652	0	0
2016.06.15	04:00:00	17643.70	17679.20	17630.20	17657.20	3219	0	0
2016.06.15	08:00:00	17656.20	17724.20	17648.70	17715.20	5965	0	0
2016.06.15	12:00:00	17715.70	17728.70	17693.20	17700.20	3953	0	0
2016.06.15	16:00:00	17699.20	17749.00	17687.20	17694.00	10948	0	0
2016.06.15	20:00:00	17694.50	17777.00	17626.90	17631.90	13057	0	0
2016.06.16	00:00:00	17638.90	17655.90	17621.40	17643.90	1581	0	0
2016.06.16	04:00:00	17644.40	17649.40	17569.90	17578.40	4044	0	0
2016.06.16	08:00:00	17580.40	17593.90	17549.90	17580.90	8817	0	0
2016.06.16	12:00:00	17580.40	17595.90	17551.90	17560.90	5073	0	0
2016.06.16	16:00:00	17561.40	17666.40	17461.40	17631.90	14301	0	0
2016.06.16	20:00:00	17631.40	17752.00	17617.00	17724.20	14013	0	0
2016.06.17	00:00:00	17725.50	17777.00	17722.50	17769.00	1883	0	0
2016.06.17	04:00:00	17769.50	17774.50	17742.00	17747.50	2739	0	0
2016.06.17	08:00:00	17748.00	17754.00	17705.00	17731.00	7181	0	0
2016.06.17	12:00:00	17729.50	17743.50	17696.00	17732.50	5545	0	0
2016.06.17	16:00:00	17731.50	17734.50	17597.00	17650.50	15003	0	0
2016.06.17	20:00:00	17650.00	17708.00	17631.50	17650.00	8286	0	0
2016.06.20	00:00:00	17660.40	17821.00	17660.40	17809.00	3206	0	0
2016.06.20	04:00:00	17808.50	17840.00	17801.00	17829.00	3097	0	0
2016.06.20	08:00:00	17828.50	17865.50	17817.00	17865.50	6344	0	0
2016.06.20	12:00:00	17865.00	17875.50	17839.50	17867.50	4009	0	0
2016.06.20	16:00:00	17868.50	17947.00	17851.50	17881.00	10977	0	0
2016.06.20	20:00:00	17881.50	17887.00	17777.50	17865.40	9122	0	0
2016.06.21	00:00:00	17843.50	17843.50	17802.50	17820.00	2185	0	0
2016.06.21	04:00:00	17819.00	17861.00	17815.00	17854.00	3131	0	0
2016.06.21	08:00:00	17854.50	17874.50	17829.00	17857.50	6602	0	0
2016.06.21	12:00:00	17857.00	17886.50	17817.50	17838.50	5326	0	0
2016.06.21	16:00:00	17837.50	17861.50	17795.00	17821.00	15269	0	0
