Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,fold_test_end
-6.0,320.0,357.0,22026.5,21719.300000000003,22180.1,21719.300000000003,1790.7050399999825,52.494960000000006,0.013549626132158864,2017-08-09 16:00:00,2017-08-17 20:00:00,8 days 04:00:00,,2017-08-26
7.0,24.0,39.0,21964.3,21830.7,21830.7,22237.499999999996,-996.5129999999898,61.313,-0.006481381150321112,2017-09-01 00:00:00,2017-09-05 16:00:00,4 days 16:00:00,,2017-11-26
10.0,152.0,159.0,22422.5,22607.800000000003,22329.1,22607.800000000003,1762.939400000029,90.06060000000001,0.007862367711004641,2017-10-02 12:00:00,2017-10-03 16:00:00,1 days 04:00:00,,2017-11-26
-2.0,356.0,372.0,24935.9,25340.6,25432.6,23944.000000000007,-829.5105999999942,20.110599999999998,-0.016632858649577455,2018-02-21 08:00:00,2018-02-26 00:00:00,4 days 16:00:00,,2018-02-26
-1.0,114.0,328.0,23995.6,24984.1,24984.1,22031.500000000007,-998.29594,9.79594,-0.041603291436763334,2018-03-23 00:00:00,2018-05-14 16:00:00,52 days 16:00:00,,2018-05-26
1.0,106.0,196.0,26455.6,25952.4,25952.4,27460.499999999993,-513.681599999997,10.4816,-0.0194167435250003,2018-09-19 20:00:00,2018-10-10 20:00:00,21 days 00:00:00,,2018-11-26
-1.0,116.0,124.0,22889.0,21633.4,23403.0,21862.5,1246.6955199999986,8.90448,0.05446701559701159,2018-12-21 12:00:00,2018-12-26 08:00:00,4 days 20:00:00,,2019-02-26
2.0,170.0,214.0,23637.5,24320.800000000003,23295.1,24320.800000000003,1347.4166800000057,19.183320000000002,0.028501674881015515,2019-01-08 12:00:00,2019-01-17 20:00:00,9 days 08:00:00,,2019-02-26
-2.0,125.0,144.0,25565.93,26008.47,26008.47,24682.35,-905.7097600000018,20.629760000000005,-0.017713217551640053,2019-03-26 20:00:00,2019-04-01 00:00:00,5 days 04:00:00,,2019-05-26
-7.0,80.0,80.0,25956.46,26087.62,26087.62,25692.64,-990.981711999999,72.86171200000001,-0.005454087961147195,2019-06-13 08:00:00,2019-06-13 08:00:00,0 days 00:00:00,,2019-08-26
2.0,183.0,197.0,26511.09,26099.25,26099.25,27334.77,-844.7241360000003,21.044136,-0.015931524052764337,2019-10-07 16:00:00,2019-10-10 00:00:00,2 days 08:00:00,,2019-11-26
-16.0,244.0,245.0,26819.36,26877.91,26877.91,26699.260000000002,-1108.6312639999883,171.83126400000003,-0.0025835610544024177,2019-10-21 20:00:00,2019-10-22 00:00:00,0 days 04:00:00,,2019-11-26
-2.0,374.0,395.0,27821.26,28160.07,28160.07,27145.139999999996,-700.0125320000026,22.392532,-0.01258053251362461,2019-11-20 12:00:00,2019-11-26 00:00:00,5 days 12:00:00,,2019-11-26
1.0,39.0,52.0,25877.01,27193.049999999992,25218.24,27193.049999999992,1305.4259879999936,10.614011999999999,0.05044732710618398,2020-06-03 12:00:00,2020-06-05 16:00:00,2 days 04:00:00,,2020-08-26
1.0,389.0,395.0,28288.59,28245.2,27526.07,29813.810000000005,-54.69675799999942,11.306758,-0.0019335271924121932,2020-08-25 00:00:00,2020-08-26 00:00:00,1 days 00:00:00,,2020-08-26
2.0,159.0,291.0,33394.98,34265.44000000001,32959.0,34265.44000000001,1713.8558320000127,27.064168000000006,0.025660381171062407,2021-04-05 16:00:00,2021-05-05 16:00:00,30 days 00:00:00,,2021-05-26
-1.0,229.0,255.0,34338.78,35094.49,35094.49,32828.86,-769.5966539999991,13.886654,-0.02241188108604908,2021-07-19 12:00:00,2021-07-23 20:00:00,4 days 08:00:00,,2021-08-26
-1.0,111.0,124.0,34170.7,34831.8,34831.8,32846.999999999985,-674.9005000000059,13.8005,-0.01975085380164896,2021-09-21 16:00:00,2021-09-23 20:00:00,2 days 04:00:00,,2021-11-26
