fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
0,2014-05-09 00:00:00,2014-08-09 00:00:00,4.6747881048534765,100.0,1,26168.7,4.7,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
1,2014-08-09 00:00:00,2014-11-09 00:00:00,8.481420116923124,66.66666666666666,3,28388.17,5.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
2,2014-11-09 00:00:00,2015-02-09 00:00:00,-8.402726999228966,0.0,2,26002.79,6.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
3,2015-02-09 00:00:00,2015-05-09 00:00:00,-6.032287582274832,28.57142857142857,7,24434.23,6.6,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 2.0}"
4,2015-05-09 00:00:00,2015-08-09 00:00:00,0.3056916952313331,40.0,5,24508.92,7.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
5,2015-08-09 00:00:00,2015-11-09 00:00:00,8.417805996394614,50.0,6,26572.04,8.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.0}"
6,2015-11-09 00:00:00,2016-02-09 00:00:00,5.757293917608913,50.0,6,28101.87,8.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
7,2016-02-09 00:00:00,2016-05-09 00:00:00,5.206683782272652,100.0,1,29565.04,8.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
8,2016-05-09 00:00:00,2016-08-09 00:00:00,10.758270817443599,75.0,4,32745.73,9.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
9,2016-08-09 00:00:00,2016-11-09 00:00:00,5.464475555723243,66.66666666666666,3,34535.11,10.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
10,2016-11-09 00:00:00,2017-02-09 00:00:00,-9.432677134212135,0.0,3,31277.53,10.8,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
11,2017-02-09 00:00:00,2017-05-09 00:00:00,1.5245460786298064,50.0,4,31754.37,11.3,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
12,2017-05-09 00:00:00,2017-08-09 00:00:00,-1.1197821947114863,33.33333333333333,3,31398.79,12.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
13,2017-08-09 00:00:00,2017-11-09 00:00:00,-2.5746134505535445,0.0,1,30590.39,12.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
14,2017-11-09 00:00:00,2018-02-09 00:00:00,5.342022555850272,62.5,8,32224.54,13.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
15,2018-02-09 00:00:00,2018-05-09 00:00:00,-7.890170789393903,0.0,3,29681.96,13.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
16,2018-05-09 00:00:00,2018-08-09 00:00:00,0.0,nan,0,29681.96,14.3,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
17,2018-08-09 00:00:00,2018-11-09 00:00:00,8.059222692618073,75.0,4,32074.1,15.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
18,2018-11-09 00:00:00,2019-02-09 00:00:00,3.1695246450612906,66.66666666666666,3,33090.7,15.7,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
19,2019-02-09 00:00:00,2019-05-09 00:00:00,-0.9681565426046,33.33333333333333,3,32770.33,17.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
20,2019-05-09 00:00:00,2019-08-09 00:00:00,-6.342592045839876,42.857142857142854,7,30691.84,16.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
21,2019-08-09 00:00:00,2019-11-09 00:00:00,-4.174873273137622,50.0,2,29410.49,18.3,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
22,2019-11-09 00:00:00,2020-02-09 00:00:00,-0.21841039999081113,66.66666666666666,6,29346.26,18.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
23,2020-02-09 00:00:00,2020-05-09 00:00:00,-18.378125623436294,50.0,12,23952.97,19.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
24,2020-05-09 00:00:00,2020-08-09 00:00:00,21.557617240396503,72.72727272727273,11,29116.65,19.4,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
25,2020-08-09 00:00:00,2020-11-09 00:00:00,-0.7045138749758917,50.0,4,28911.52,20.2,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
26,2020-11-09 00:00:00,2021-02-09 00:00:00,-3.5250755980277613,40.0,10,27892.37,20.9,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
27,2021-02-09 00:00:00,2021-05-09 00:00:00,-12.771184216648834,25.0,8,24330.18,21.4,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
28,2021-05-09 00:00:00,2021-08-09 00:00:00,0.004175271630199859,40.0,5,24331.2,21.9,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
29,2021-08-09 00:00:00,2021-11-09 00:00:00,-19.016085296789328,0.0,6,19704.36,22.4,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
30,2021-11-09 00:00:00,2022-02-09 00:00:00,-7.800769271302109,0.0,3,18167.27,22.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
31,2022-02-09 00:00:00,2022-05-09 00:00:00,-7.108654780926445,0.0,2,16875.82,23.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
