fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
0,2014-05-09 00:00:00,2014-08-09 00:00:00,1.7035244788872805,100.0,1,101703.52,4.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
1,2014-08-09 00:00:00,2014-11-09 00:00:00,2.3588680763515146,66.66666666666666,3,104102.58,5.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
2,2014-11-09 00:00:00,2015-02-09 00:00:00,-2.046623180849172,0.0,2,101971.99,5.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.5}"
3,2015-02-09 00:00:00,2015-05-09 00:00:00,-2.642329592949871,28.57142857142857,7,99277.55,6.4,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 2.0}"
4,2015-05-09 00:00:00,2015-08-09 00:00:00,-1.2074125850056734,40.0,5,98078.86,7.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 2.0}"
5,2015-08-09 00:00:00,2015-11-09 00:00:00,0.041667663184838596,41.66666666666667,12,98119.73,8.1,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
6,2015-11-09 00:00:00,2016-02-09 00:00:00,1.8182350606898399,50.0,6,99903.78,8.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
7,2016-02-09 00:00:00,2016-05-09 00:00:00,1.458769163136734,100.0,1,101361.14,9.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
8,2016-05-09 00:00:00,2016-08-09 00:00:00,3.337143327362748,75.0,4,104743.71,9.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
9,2016-08-09 00:00:00,2016-11-09 00:00:00,1.523317636227177,66.66666666666666,3,106339.29,10.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
10,2016-11-09 00:00:00,2017-02-09 00:00:00,-2.2128940831972432,0.0,3,103986.11,10.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
11,2017-02-09 00:00:00,2017-05-09 00:00:00,0.26109160737597265,50.0,4,104257.61,11.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
12,2017-05-09 00:00:00,2017-08-09 00:00:00,-0.6877416692688422,33.33333333333333,3,103540.59,12.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
13,2017-08-09 00:00:00,2017-11-09 00:00:00,-1.038292290299156,0.0,1,102465.54,12.7,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
14,2017-11-09 00:00:00,2018-02-09 00:00:00,4.0278444572093575,62.5,8,106592.69,13.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
15,2018-02-09 00:00:00,2018-05-09 00:00:00,-3.0789303417820046,0.0,3,103310.77,14.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
16,2018-05-09 00:00:00,2018-08-09 00:00:00,0.0,nan,0,103310.77,14.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
17,2018-08-09 00:00:00,2018-11-09 00:00:00,3.4172780510055603,75.0,4,106841.19,15.3,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
18,2018-11-09 00:00:00,2019-02-09 00:00:00,1.7976628462566733,66.66666666666666,3,108761.83,15.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
19,2019-02-09 00:00:00,2019-05-09 00:00:00,-0.2512454847915651,33.33333333333333,3,108488.57,16.7,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
20,2019-05-09 00:00:00,2019-08-09 00:00:00,-1.2382555701421372,42.857142857142854,7,107145.21,18.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
21,2019-08-09 00:00:00,2019-11-09 00:00:00,-0.9468335829016433,50.0,2,106130.72,18.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
22,2019-11-09 00:00:00,2020-02-09 00:00:00,1.9683423420476902,66.66666666666666,6,108219.74,19.2,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
23,2020-02-09 00:00:00,2020-05-09 00:00:00,1.6374913797195478,50.0,12,109991.83,19.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
24,2020-05-09 00:00:00,2020-08-09 00:00:00,4.186324749731909,62.5,8,114596.44,19.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
25,2020-08-09 00:00:00,2020-11-09 00:00:00,-2.00608888343563,0.0,2,112297.54,21.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
26,2020-11-09 00:00:00,2021-02-09 00:00:00,-1.434119577895879,25.0,4,110687.05,22.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
27,2021-02-09 00:00:00,2021-05-09 00:00:00,-1.0208447619667131,0.0,1,109557.11,22.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
28,2021-05-09 00:00:00,2021-08-09 00:00:00,0.6430540257388784,40.0,5,110261.62,22.4,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
