fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
0,2017-05-26 00:00:00,2017-08-26 00:00:00,2.145974014135441,62.5,8,25536.49,4.1,"{""adx_threshold"": 25, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 2}"
1,2017-08-26 00:00:00,2017-11-26 00:00:00,10.878357661799514,75.0,12,28314.44,4.7,"{""adx_threshold"": 20, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
2,2017-11-26 00:00:00,2018-02-26 00:00:00,9.299722521611722,46.15384615384615,13,30947.61,5.6,"{""adx_threshold"": 20, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
3,2018-02-26 00:00:00,2018-05-26 00:00:00,-7.331607093887854,14.285714285714285,7,28678.65,6.2,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
4,2018-05-26 00:00:00,2018-08-26 00:00:00,-1.8234409104464575,33.33333333333333,9,28155.71,6.7,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
5,2018-08-26 00:00:00,2018-11-26 00:00:00,-7.172985576381005,22.22222222222222,9,26136.11,7.7,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
6,2018-11-26 00:00:00,2019-02-26 00:00:00,4.707456426625489,36.36363636363637,11,27366.45,7.8,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
7,2019-02-26 00:00:00,2019-05-26 00:00:00,-3.68362475706097,14.285714285714285,7,26358.38,8.5,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
8,2019-05-26 00:00:00,2019-08-26 00:00:00,-2.1150941103079384,28.57142857142857,7,25800.87,9.2,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
9,2019-08-26 00:00:00,2019-11-26 00:00:00,4.254004929247996,45.45454545454545,11,26898.44,9.9,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
10,2019-11-26 00:00:00,2020-02-26 00:00:00,0.10280916871866794,33.33333333333333,9,26926.1,10.4,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
11,2020-02-26 00:00:00,2020-05-26 00:00:00,-4.310810135721782,33.33333333333333,9,25765.36,11.2,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
12,2020-05-26 00:00:00,2020-08-26 00:00:00,5.248968335853991,50.0,10,27117.78,11.9,"{""adx_threshold"": 15, ""swing_lookback"": 30, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
13,2020-08-26 00:00:00,2020-11-26 00:00:00,1.600107118147469,33.33333333333333,12,27551.69,12.6,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
14,2020-11-26 00:00:00,2021-02-26 00:00:00,-9.556122093167069,12.5,8,24918.82,13.1,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
15,2021-02-26 00:00:00,2021-05-26 00:00:00,4.939802422525579,33.33333333333333,6,26149.76,14.0,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
16,2021-05-26 00:00:00,2021-08-26 00:00:00,-4.033584264608013,27.27272727272727,11,25094.99,14.0,"{""adx_threshold"": 15, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
17,2021-08-26 00:00:00,2021-11-26 00:00:00,0.8945666561696562,33.33333333333333,9,25319.48,15.0,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
18,2021-11-26 00:00:00,2022-02-26 00:00:00,-11.655823801010236,21.428571428571427,14,22368.29,15.2,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
19,2022-02-26 00:00:00,2022-05-26 00:00:00,-16.42525821454929,0.0,4,18694.24,15.8,"{""adx_threshold"": 30, ""swing_lookback"": 20, ""atr_sl_mult"": 2, ""atr_tp_mult"": 3}"
20,2022-05-26 00:00:00,2022-08-26 00:00:00,15.139788097631987,44.44444444444444,9,21524.5,16.4,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
21,2022-08-26 00:00:00,2022-11-26 00:00:00,-8.820134360558018,27.27272727272727,11,19626.01,17.3,"{""adx_threshold"": 15, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
22,2022-11-26 00:00:00,2023-02-26 00:00:00,-4.857197371858245,33.33333333333333,3,18672.74,17.6,"{""adx_threshold"": 30, ""swing_lookback"": 20, ""atr_sl_mult"": 2, ""atr_tp_mult"": 3}"
23,2023-02-26 00:00:00,2023-05-26 00:00:00,-0.29544819047239435,50.0,4,18617.57,18.6,"{""adx_threshold"": 30, ""swing_lookback"": 20, ""atr_sl_mult"": 2, ""atr_tp_mult"": 3}"
24,2023-05-26 00:00:00,2023-08-26 00:00:00,1.1720701092804084,40.0,5,18835.78,19.1,"{""adx_threshold"": 25, ""swing_lookback"": 30, ""atr_sl_mult"": 2, ""atr_tp_mult"": 4}"
25,2023-08-26 00:00:00,2023-11-26 00:00:00,1.0779742098258867,37.5,8,19038.83,19.6,"{""adx_threshold"": 25, ""swing_lookback"": 30, ""atr_sl_mult"": 2, ""atr_tp_mult"": 4}"
26,2023-11-26 00:00:00,2024-02-26 00:00:00,7.181085824192109,50.0,6,20406.02,20.3,"{""adx_threshold"": 25, ""swing_lookback"": 30, ""atr_sl_mult"": 2, ""atr_tp_mult"": 4}"
27,2024-02-26 00:00:00,2024-05-26 00:00:00,2.5048631288524486,42.857142857142854,7,20917.17,20.9,"{""adx_threshold"": 25, ""swing_lookback"": 30, ""atr_sl_mult"": 2, ""atr_tp_mult"": 4}"
28,2024-05-26 00:00:00,2024-08-26 00:00:00,-1.7045141072370023,33.33333333333333,6,20560.63,21.6,"{""adx_threshold"": 25, ""swing_lookback"": 30, ""atr_sl_mult"": 2, ""atr_tp_mult"": 4}"
29,2024-08-26 00:00:00,2024-11-26 00:00:00,11.648228388452873,62.5,8,22955.58,22.2,"{""adx_threshold"": 15, ""swing_lookback"": 30, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
30,2024-11-26 00:00:00,2025-02-26 00:00:00,-5.93032329179869,11.11111111111111,9,21594.24,25.1,"{""adx_threshold"": 20, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
31,2025-02-26 00:00:00,2025-05-26 00:00:00,8.989009336728676,44.44444444444444,9,23535.35,24.4,"{""adx_threshold"": 20, ""swing_lookback"": 30, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
32,2025-05-26 00:00:00,2025-08-26 00:00:00,7.998056287768966,75.0,4,25417.72,24.2,"{""adx_threshold"": 20, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
33,2025-08-26 00:00:00,2025-11-26 00:00:00,-6.961666951886509,11.11111111111111,9,23648.22,24.8,"{""adx_threshold"": 20, ""swing_lookback"": 20, ""atr_sl_mult"": 1, ""atr_tp_mult"": 4}"
34,2025-11-26 00:00:00,2026-02-26 00:00:00,-7.5258058073013085,0.0,6,21868.5,25.1,"{""adx_threshold"": 20, ""swing_lookback"": 30, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
35,2026-02-26 00:00:00,2026-05-26 00:00:00,-1.3210235347646375,40.0,5,21579.61,25.9,"{""adx_threshold"": 20, ""swing_lookback"": 40, ""atr_sl_mult"": 1, ""atr_tp_mult"": 3}"
