fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
0,2017-05-26 00:00:00,2017-08-26 00:00:00,1.8672090247154556,66.66666666666666,3,25466.8,4.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
1,2017-08-26 00:00:00,2017-11-26 00:00:00,3.0328829763836693,62.5,8,26239.18,5.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
2,2017-11-26 00:00:00,2018-02-26 00:00:00,17.06189216768928,58.333333333333336,12,30716.08,5.9,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
3,2018-02-26 00:00:00,2018-05-26 00:00:00,-8.038686517317007,14.285714285714285,7,28246.91,6.4,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
4,2018-05-26 00:00:00,2018-08-26 00:00:00,0.975088837311574,37.5,8,28522.34,7.1,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
5,2018-08-26 00:00:00,2018-11-26 00:00:00,-2.9409599212677566,0.0,2,27683.51,7.6,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
6,2018-11-26 00:00:00,2019-02-26 00:00:00,4.90025401292606,50.0,8,29040.08,8.1,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
7,2019-02-26 00:00:00,2019-05-26 00:00:00,-7.860754721053789,16.666666666666664,6,26757.31,8.8,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
8,2019-05-26 00:00:00,2019-08-26 00:00:00,-3.9749110982707934,42.857142857142854,7,25693.73,9.3,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
9,2019-08-26 00:00:00,2019-11-26 00:00:00,4.521183807014648,40.0,10,26855.39,10.1,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
10,2019-11-26 00:00:00,2020-02-26 00:00:00,10.065101407151335,50.0,10,29558.41,10.7,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
11,2020-02-26 00:00:00,2020-05-26 00:00:00,11.900230332159248,50.0,6,33075.93,11.3,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
12,2020-05-26 00:00:00,2020-08-26 00:00:00,-0.15486593106199872,42.857142857142854,7,33024.71,12.2,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
13,2020-08-26 00:00:00,2020-11-26 00:00:00,-7.568296412585042,25.0,8,30525.3,12.4,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
14,2020-11-26 00:00:00,2021-02-26 00:00:00,-4.18606463045656,25.0,4,29247.49,13.2,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
15,2021-02-26 00:00:00,2021-05-26 00:00:00,5.125905881880317,40.0,5,30746.69,13.9,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
16,2021-05-26 00:00:00,2021-08-26 00:00:00,-6.171318750953753,33.33333333333333,9,28849.21,14.6,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
17,2021-08-26 00:00:00,2021-11-26 00:00:00,-6.697066435908927,25.0,8,26917.16,15.5,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
18,2021-11-26 00:00:00,2022-02-26 00:00:00,2.609371126021026,44.44444444444444,9,27619.53,15.5,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
19,2022-02-26 00:00:00,2022-05-26 00:00:00,2.3019223169982723,40.0,5,28255.31,16.3,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
20,2022-05-26 00:00:00,2022-08-26 00:00:00,31.839850068980336,85.71428571428571,7,37251.76,16.7,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
21,2022-08-26 00:00:00,2022-11-26 00:00:00,13.992559866448923,66.66666666666666,6,42464.23,17.6,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
22,2022-11-26 00:00:00,2023-02-26 00:00:00,-6.764149855618001,20.0,5,39591.89,18.1,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
23,2023-02-26 00:00:00,2023-05-26 00:00:00,2.5313168751557678,50.0,6,40594.08,19.0,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
24,2023-05-26 00:00:00,2023-08-26 00:00:00,-5.7555508454737865,20.0,5,38257.67,19.1,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
25,2023-08-26 00:00:00,2023-11-26 00:00:00,0.6527143927970028,37.5,8,38507.39,20.3,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
26,2023-11-26 00:00:00,2024-02-26 00:00:00,3.0499597891990415,57.14285714285714,7,39681.84,20.8,"{""er_threshold"": 0.35, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
27,2024-02-26 00:00:00,2024-05-26 00:00:00,0.16464829890988766,50.0,4,39747.18,21.5,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
28,2024-05-26 00:00:00,2024-08-26 00:00:00,-1.951414084480057,40.0,5,38971.55,21.7,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
29,2024-08-26 00:00:00,2024-11-26 00:00:00,11.212189172464889,100.0,5,43341.11,22.8,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
30,2024-11-26 00:00:00,2025-02-26 00:00:00,0.14520200248713083,50.0,2,43404.04,23.4,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
31,2025-02-26 00:00:00,2025-05-26 00:00:00,-6.621953479529416,50.0,4,40529.85,23.4,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
32,2025-05-26 00:00:00,2025-08-26 00:00:00,5.2786576892935555,75.0,4,42669.28,26.2,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
33,2025-08-26 00:00:00,2025-11-26 00:00:00,-6.486772834322968,0.0,5,39901.42,25.8,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
34,2025-11-26 00:00:00,2026-02-26 00:00:00,0.0,nan,0,39901.42,26.9,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
35,2026-02-26 00:00:00,2026-05-26 00:00:00,-2.3786773760000215,50.0,2,38952.3,26.7,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.5}"
