fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
0,2017-05-26 00:00:00,2017-08-26 00:00:00,1.5828420847052038,66.66666666666666,3,101582.84,4.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
1,2017-08-26 00:00:00,2017-11-26 00:00:00,3.3809420791544547,62.5,8,105017.3,5.0,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
2,2017-11-26 00:00:00,2018-02-26 00:00:00,1.6501047601407044,40.0,10,106750.19,5.8,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 4.0}"
3,2018-02-26 00:00:00,2018-05-26 00:00:00,-2.7176965078190114,14.285714285714285,7,103849.05,6.4,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
4,2018-05-26 00:00:00,2018-08-26 00:00:00,0.5781256806623569,37.5,8,104449.43,7.1,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
5,2018-08-26 00:00:00,2018-11-26 00:00:00,-2.261644638176178,22.22222222222222,9,102087.15,7.8,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
6,2018-11-26 00:00:00,2019-02-26 00:00:00,0.05166437765452428,33.33333333333333,9,102139.89,8.1,"{""er_threshold"": 0.25, ""swing_lookback"": 30, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
7,2019-02-26 00:00:00,2019-05-26 00:00:00,-3.8184997553103748,14.285714285714285,7,98239.68,8.8,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
8,2019-05-26 00:00:00,2019-08-26 00:00:00,-0.21111089386978713,40.0,5,98032.29,9.4,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 4.0}"
9,2019-08-26 00:00:00,2019-11-26 00:00:00,3.4526576790472463,40.0,10,101417.01,10.4,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
10,2019-11-26 00:00:00,2020-02-26 00:00:00,3.6347804114974567,50.0,10,105103.29,10.8,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
11,2020-02-26 00:00:00,2020-05-26 00:00:00,1.4061312567399147,50.0,6,106581.18,11.3,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
12,2020-05-26 00:00:00,2020-08-26 00:00:00,1.914359617532027,41.66666666666667,12,108621.53,12.2,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
13,2020-08-26 00:00:00,2020-11-26 00:00:00,0.4591859326966078,40.0,10,109120.3,12.6,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
14,2020-11-26 00:00:00,2021-02-26 00:00:00,-1.864899076065543,20.0,5,107085.32,13.3,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
15,2021-02-26 00:00:00,2021-05-26 00:00:00,1.3076265608851827,42.857142857142854,7,108485.6,14.1,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
16,2021-05-26 00:00:00,2021-08-26 00:00:00,-2.041890487682569,23.076923076923077,13,106270.44,14.5,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
17,2021-08-26 00:00:00,2021-11-26 00:00:00,-3.722801927846536,20.0,10,102314.2,15.3,"{""er_threshold"": 0.25, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
18,2021-11-26 00:00:00,2022-02-26 00:00:00,3.318902898094093,40.0,10,105709.91,15.9,"{""er_threshold"": 0.35, ""swing_lookback"": 10, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 3.5}"
